gene_id,nickname,accession,source,substrate,timepoint_hours,average_intensity,stddev_intensity,sample_count
AR00004,IllSale,AR241010_13,GRASP_241010,BHET12.5,8,-0.00533578428439796,0.012287007712989621,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET12.5,24,-0.0019313724769745022,0.005881895158622014,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET12.5,48,0.0023039219086058438,0.01616935088816127,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET12.5,72,0.005453431207570247,0.013866012870806878,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET12.5,96,-0.002828431679517962,0.023729396786842747,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET12.5,120,0.012872549063104088,0.017395956965312244,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET25,8,0.008995098003651947,0.004518099151270636,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET25,24,-0.012769607827067375,0.01169442944368241,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET25,48,-0.006333333207294345,0.011632156852133427,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET25,72,-0.0003602936340030283,0.03276859564467097,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET25,96,0.0023823532392270863,0.030739408426981474,8
AR00004,IllSale,AR241010_13,GRASP_241010,BHET25,120,0.000573529934627004,0.03312219191299493,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET12.5,8,-0.0070710788131691515,0.019078616818544863,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET12.5,24,-0.00026470569719094783,0.0070414897736256294,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET12.5,48,-0.003357843146659434,0.01720173811771663,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET12.5,72,-0.010159313678741455,0.0016246453532889492,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET12.5,96,-0.014872548868879676,0.005929104403585202,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET12.5,120,-0.011230392032302916,0.0015311973390394185,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET25,8,0.007433823586325161,0.0057024925033405,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET25,24,-0.017884803819470108,0.010178083886275014,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET25,48,-0.008710784342838451,0.006228099802665195,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET25,72,-0.015671568718971685,0.017716290225292263,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET25,96,-0.024688725359737873,0.005222226124376418,8
AR00005,CompleteSurprise,AR241010_14,GRASP_241010,BHET25,120,-0.02333333296701312,0.00438389588988863,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET12.5,8,-0.004698529373854399,0.014880036646195818,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET12.5,24,-0.0011421567178331316,0.009650392955916763,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET12.5,48,0.010727941205914249,0.012928817793671747,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET12.5,72,0.02127450972329825,0.020320181011429607,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET12.5,96,0.01747548975981772,0.032038916441093586,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET12.5,120,0.0307990200817585,0.02019177520042749,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET25,8,0.013127450831234455,0.004060548528455407,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET25,24,0.001450980780646205,0.01723022187967667,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET25,48,0.006264706200454384,0.01767202412659476,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET25,72,0.018191176815889776,0.04262363636728427,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET25,96,0.024468136909490568,0.029630025072954494,8
AR00006,GreatOpening,AR241010_17,GRASP_241010,BHET25,120,0.02136519660416525,0.03407374523239,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET12.5,8,-0.0071789216017350554,0.012842542596365285,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET12.5,24,-0.0005343137017916888,0.005121340196187941,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET12.5,48,-0.0014485294232144952,0.018878347474115424,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET12.5,72,-0.007220588100608438,0.0014482427793922217,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET12.5,96,-0.018544117658166215,0.011926919410029468,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET12.5,120,-0.008553921536076814,0.0023166611763824336,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET25,8,0.010151960712391883,0.006225842009585486,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET25,24,-0.014171568705933169,0.012405515835621902,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET25,48,-0.015323529252782464,0.0032778541701062444,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET25,72,-0.019029411878364044,0.01591716279518978,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET25,96,-0.025249999947845936,0.0042341754916369705,8
AR00007,UnkemptConfusion,AR241010_33,GRASP_241010,BHET25,120,-0.030022058868780732,0.004521934982607529,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET12.5,8,-0.009230392286553979,0.01440867098321118,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET12.5,24,-0.002740196171544085,0.006780878535894349,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET12.5,48,-0.0038872547447681427,0.01756022743647755,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET12.5,72,-0.011284313863143325,0.001544883331670402,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET12.5,96,-0.022151960525661707,0.009933517485774906,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET12.5,120,-0.01262745086569339,0.0015069088461524193,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET25,8,0.007468137395335361,0.005327846012060394,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET25,24,-0.018730391864664853,0.011192154544080714,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET25,48,-0.016921568429097533,0.0038730330371133186,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET25,72,-0.02321568684419617,0.014929637265970134,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET25,96,-0.03276225458830595,0.004268252874398142,8
AR00008,LightTeaching,AR241010_43,GRASP_241010,BHET25,120,-0.03451470588333905,0.00310363233557193,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET12.5,8,-0.005656862631440163,0.01309343798023321,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET12.5,24,0.006745098216924816,0.01644028157080882,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET12.5,48,0.019568627438275144,0.012033109806471686,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET12.5,72,0.034068627894157544,0.022337660207625662,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET12.5,96,0.02582352928675391,0.02801645658925037,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET12.5,120,0.03443137195426971,0.0159431762980035,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET25,8,0.007975490007083863,0.0012676067776363439,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET25,24,0.0013210783363319933,0.018351423992769452,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET25,48,0.02543872536625713,0.029913889229298454,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET25,72,0.03759803879074752,0.04229525983601122,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET25,96,0.053654411967727356,0.033592774671379416,8
AR00009,KookyMirror,AR241010_56,GRASP_241010,BHET25,120,0.05595098150661215,0.038831982093726944,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET12.5,8,-0.005852941132616252,0.01400278139894125,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET12.5,24,-0.002252451071399264,0.005616762805590057,8
AR00010,DesertedContext,AR241010_73,GRASP_241010,BHET12.5,48,0.0046470590168610215,0.024395759536297145,8
